Latitudes,Longitudes,Address
18.96576292,72.82531209,"62/18, 10th Ln, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008, India"
18.96460844,72.82744613,"83, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008, India"
18.96817743,72.82525945,"268, Belasis Rd, Nagpada, Madanpura, Mumbai, Maharashtra 400008, India"
18.96791838,72.82673802,"Office No. 9006, Ozone Biz Center, 9th Flr., 252/254, M.H. Comd., Bellasis Road, next to Maharastra College, Madanpura, Mumbai, Maharashtra 400008, India"
18.96702741,72.82502543,"Orchid Apartment, Shop No.6, Ground floor, Shuklaji Street,, Mumbai Central, Navjeevan Society, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008, India"
18.96347204,72.82451112,"106, Sukhlaji Marg, Near Aisha Hotel, Navjeevan Society, Kamathipura, Mumbai, Maharashtra 400008, India"
18.96247323,72.82648087,"Mumbai, Siddharth Nagar, Kamathipura, Mumbai, Maharashtra 400008, India"
18.96216535,72.82408264,"259, MS Ali Road, Chor Bazaar, Kamathipura, Mumbai, Maharashtra 400008, India"
18.95469283,72.8354029,"49, Dontad St, Pydhonie, Mandvi, Mumbai, Maharashtra 400003, India"
18.94597531,72.82690465,"248, Shamaldas Gandhi Marg, Chandan Wadi, Sonapur, Marine Lines, Mumbai, Maharashtra 400002, India"
18.95886608,72.81768758,"393, Mangaldas House, Naaz Cinema Compound, Off, Lamington Rd, below I.O. Bank, Charni Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400004, India"
18.97620736,72.81225946,"Vatsalabai Desai Chowk(sahkar Niwas) / Hazi Ali, Haji Ali, Malviya Nagar, Tardeo, Mumbai, Maharashtra 400034, India"
18.99955619,72.8185831,"11, G M Bhosle Marg, B Wing, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018, India"
19.00128706,72.82312643,"1000A Peninsula Corporate Park Lower G K Marg, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013, India"
18.99723851,72.81864848,"Empire Building, Dr E Moses Rd, Worli Naka, Upper Worli, Worli, Mumbai, Maharashtra 400018, India"
19.00270852,72.82044623,"73, Bhagoji Waghmare Marg, Ambedkar Nagar Colony, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018, India"
18.99587883,72.82119792,"A/107, Takshashila CHS, L. R. Papan Marg, Gandhi Nagar, Worli, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400018, India"
18.99541503,72.81701434,"1/B, Worli Naka, Bhim Nagar, Mahalakshmi, Mumbai, Maharashtra 400018, India"
19.01865816,72.8428353,"office no 44, rangkaushaly business centre,moti bhuvaD'silva road, next to hindu darbar hotel, Dadar East, Dadar, Mumbai, Maharashtra 400028, India"
19.02289383,72.85034113,"212, Sir Bhalchandra Rd, Matunga, Mumbai, Maharashtra 400019, India"
19.01260701,72.85022479,"37, Sahakar Nagar, Wadala, Mumbai, Maharashtra 400031, India"
19.0158526,72.85546146,"18/5, Ganesh Mandir Marg, Wadla Village, Wadala, Mumbai, Maharashtra 400031, India"
19.01236927,72.84534652,"164, SS Wagh Marg, Old bdd chawl, Naigaon, Dadar, Mumbai, Maharashtra 400014, India"
19.01879382,72.84619577,"58, Rd Number 1, Hindu Colony, Dadar, Mumbai, Maharashtra 400014, India"
19.02467074,72.85601299,"519, H R Mahajani Rd, Matunga, Mumbai, Maharashtra 400019, India"
